"","wls_fit","wls_lwr","wls_upr","ols_fit","ols_lwr","ols_upr","name","actual"
"112",17.5792455386906,16.8045017936859,18.3539892836954,17.8103525197615,16.1998014130742,19.4209036264487,"DeMar DeRozan",16.96825
"201",16.9521234641405,16.1471319884495,17.7571149398315,16.7738069799747,15.1504430519053,18.3971709080441,"James Harden",17.33164
"274",16.7824182176182,16.0023322901136,17.5625041451227,16.2574062718836,14.6467865274606,17.8680260163067,"Kentavious Caldwell-Pope",16.94038
"308",17.6954886161682,16.988715038402,18.4022621939344,18.285975614426,16.6460753573828,19.9258758714692,"LeBron James",17.70178
"320",16.3745257342631,15.4166340166393,17.3324174518868,16.1167691198151,14.5125910192923,17.720947220338,"Malik Beasley",15.60727
"391",17.4717233736643,16.760283852505,18.1831628948237,17.4180125700568,15.8020093138721,19.0340158262415,"Paul George",17.71152
"446",17.1035949965229,16.2826471546945,17.9245428383513,16.7890151205159,15.1974164995574,18.3806137414744,"Tobias Harris",17.04891
"462",15.7980091590826,14.7148620182608,16.8811562999043,15.6481891808881,14.0213362371201,17.2750421246561,"Tyus Jones",14.55149
"240",16.7957781974504,16.0327048124259,17.5588515824749,16.3065987800651,14.6990336268641,17.9141639332661,"Jonas Valančiūnas",16.10805
"461",17.003023853954,16.2305448180366,17.7755028898714,16.8018678406167,15.190610165001,18.4131255162324,"Tyrese Maxey",17.37505
